comment,CountM,CountA,userid,CountD,datetime,user
,,,,,,
Widget,2,0,r1535452 ,0, 2015-10-22 11:25:35, Jimmy 
,,,,,,
Widget,2,0,r1535451 ,0, 2015-10-22 11:25:18, Jimmy 
,,,,,,
PHONE-1409: Phone - Scheduled Maintenance Not Working as Expected,1,0,r1533128 ,0, 2015-10-16 11:55:48, Thomas 
,,,,,,
FTRPC-117: Frontier Android Handset || App icon is not matching as per Branding parameters,0,1,r1533115 ,1, 2015-10-16 11:32:58, Thomas 
,,,,,,
Added AMXPC jira project to jira report,2,0,r1533097 ,0, 2015-10-16 11:13:18, Thomas 
,,,,,,
Updated build files to support Jira reports per clients,5,0,r1533092 ,0, 2015-10-16 11:04:56, Thomas 
,,,,,,
FTRPC-118: Frontier Android Handset || About screen is loading forever,1,0,r1532755 ,0, 2015-10-15 16:50:56, Thomas 
,,,,,,
Widget update,9,1,r1532018 ,1, 2015-10-14 14:51:25, Jimmy 
,,,,,,
Widget update,1,0,r1532015 ,0, 2015-10-14 14:49:17, Jimmy 
,,,,,,
Re enabled client modules,1,0,r1531912 ,0, 2015-10-14 12:50:27, Jimmy 
,,,,,,
Spike for app removal,14,9,r1531903 ,6, 2015-10-14 12:40:19, Jimmy 
,,,,,,
Added titles for wizard,7,0,r1531479 ,0, 2015-10-13 15:54:58, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1530186 ,0, 2015-10-09 14:34:54, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Bumped version to 15.2.30.18,1,0,r1530155 ,0, 2015-10-09 13:58:14, Thomas 
,,,,,,
Disabled at&t module,1,0,r1530104 ,0, 2015-10-09 12:52:44, Jimmy 
,,,,,,
Lint fix,1,0,r1530087 ,0, 2015-10-09 12:30:40, Jimmy 
,,,,,,
Added new homescreen,6,66,r1530077 ,9, 2015-10-09 12:10:54, Jimmy 
,,,,,,
Added lint ignores,1,0,r1530022 ,0, 2015-10-09 11:17:08, Thomas 
,,,,,,
Added lint ignores,1,0,r1530019 ,0, 2015-10-09 11:09:59, Thomas 
,,,,,,
Updated strings,1,0,r1529976 ,0, 2015-10-09 10:13:54, Thomas 
,,,,,,
Revert back some assets,0,12,r1529934 ,0, 2015-10-09 09:24:07, Thomas 
,,,,,,
"Added qa and qa_wl build types, renamed app.",3,1,r1529923 ,0, 2015-10-09 09:06:45, Thomas 
,,,,,,
Updated assets,2,0,r1529916 ,0, 2015-10-09 08:55:33, Thomas 
,,,,,,
Removed unused resources,0,0,r1529913 ,52, 2015-10-09 08:53:15, Thomas 
,,,,,,
http://confluence.company.net:8085/display/PRO/Frontier+PC+PROD,1,0,r1529617 ,0, 2015-10-08 14:55:59, Thomas 
,,,,,,
Enabled client-frt client,4,0,r1529611 ,1, 2015-10-08 14:49:55, Thomas 
,,,,,,
Copy to android-15.2-solutions,0,1,r1529597 ,0, 2015-10-08 14:38:16, Thomas 
,,,,,,
PHONE-1420: CLONE - [15.2]The first file thumbnail is not dispalyed properly in landscape mode,1,0,r1528989 ,0, 2015-10-07 15:19:21, Thomas 
,,,,,,
Updated more strings,1,0,r1528947 ,0, 2015-10-07 14:44:23, Thomas 
,,,,,,
Simplified app versioning,2,0,r1528925 ,0, 2015-10-07 14:23:29, Thomas 
,,,,,,
PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon,1,0,r1528923 ,0, 2015-10-07 14:19:38, Thomas 
,,,,,,
PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon,4,0,r1528922 ,0, 2015-10-07 14:19:14, Thomas 
,,,,,,
Remove att permission from manifest,1,0,r1528797 ,0, 2015-10-07 11:06:28, Thomas 
,,,,,,
ANDINTL-3163 - enable the application to be installed on top of Ready 2 Go and Verizon cloud,13,0,r1528782 ,0, 2015-10-07 10:45:54, Thomas 
,,,,,,
Enabled client-amx client,1,0,r1528452 ,0, 2015-10-06 16:15:27, Thomas 
,,,,,,
"Fixed NPE for amx client, changed amx client name",2,0,r1528449 ,0, 2015-10-06 16:07:38, Thomas 
,,,,,,
Added ignores,1,0,r1528422 ,0, 2015-10-06 15:36:53, Thomas 
,,,,,,
Implements HelpFragment.Callback,1,0,r1528416 ,0, 2015-10-06 15:28:51, Thomas 
,,,,,,
Added help_fragment_icon.png,0,1,r1528414 ,0, 2015-10-06 15:27:59, Thomas 
,,,,,,
Added help fragment colors,1,0,r1528412 ,0, 2015-10-06 15:26:10, Thomas 
,,,,,,
Help CR: http://confluence.company.net:8085/display/CSE/Titans+Android+Help+CR [from revision 1520497],1,0,r1528411 ,0, 2015-10-06 15:23:31, Thomas 
,,,,,,
Merge fragment_help.xml from amx branch,0,1,r1528409 ,0, 2015-10-06 15:21:35, Thomas 
,,,,,,
Merge HelpFragment.java from amx branch,0,1,r1528404 ,0, 2015-10-06 15:18:18, Thomas 
,,,,,,
Merged from android-15.2-solutions-amx branch,0,1,r1528397 ,0, 2015-10-06 15:13:00, Thomas 
,,,,,,
PHONE-1415: CLONE - [15.2][PC] Screen rotates at some pages even though auto-rotation is OFF in device.,1,0,r1527179 ,0, 2015-10-02 16:23:05, Thomas 
,,,,,,
"PHONE-1529: ATT Android || The file which is downloading for Available offline, if canceled not playing even with wifi [from revision 1527022]",2,0,r1527029 ,0, 2015-10-02 13:24:26, Thomas 
,,,,,,
PHONE-1342: Phone - Rename a Photo in an Album using the Web Returns Error Getting Info on Handset [from revision 1526937],11,0,r1526939 ,0, 2015-10-02 10:15:40, Thomas 
,,,,,,
PHONE-1377: Phone 2.0 - All files - Folder - Get info - Failure,1,0,r1526558 ,0, 2015-10-01 13:25:23, Thomas 
,,,,,,
Added lint suppress,1,0,r1526549 ,0, 2015-10-01 13:18:27, Jimmy 
,,,,,,
Added handling for R2G,10,0,r1526501 ,0, 2015-10-01 12:29:00, Jimmy 
,,,,,,
